admin_code;not_null;ipc_1;ipc_2;ipc_3;ipc_4;ipc_5;ipc_2_plus;ipc_3_plus;ipc_4_plus;ipc_1_pct;ipc_2_pct;ipc_3_pct;ipc_4_pct;ipc_5_pct;ipc_2_plus_pct;ipc_3_plus_pct;ipc_4_plus_pct
417;28;21;7;;;;7;0;0;0.75;0.25;0;0;0;0.25;0;0
418;28;20;8;;;;8;0;0;0.714285714;0.285714286;0;0;0;0.285714286;0;0
419;28;5;14;9;;;23;9;0;0.178571429;0.5;0.321428571;0;0;0.821428571;0.321428571;0
420;28;8;20;;;;20;0;0;0.285714286;0.714285714;0;0;0;0.714285714;0;0
421;28;5;19;4;;;23;4;0;0.178571429;0.678571429;0.142857143;0;0;0.821428571;0.142857143;0
422;28;16;11;1;;;12;1;0;0.571428571;0.392857143;0.035714286;0;0;0.428571429;0.035714286;0
423;28;9;19;;;;19;0;0;0.321428571;0.678571429;0;0;0;0.678571429;0;0
424;28;3;18;7;;;25;7;0;0.107142857;0.642857143;0.25;0;0;0.892857143;0.25;0
425;28;1;8;19;;;27;19;0;0.035714286;0.285714286;0.678571429;0;0;0.964285714;0.678571429;0
426;28;20;6;2;;;8;2;0;0.714285714;0.214285714;0.071428571;0;0;0.285714286;0.071428571;0
427;28;13;12;3;;;15;3;0;0.464285714;0.428571429;0.107142857;0;0;0.535714286;0.107142857;0
428;28;18;8;2;;;10;2;0;0.642857143;0.285714286;0.071428571;0;0;0.357142857;0.071428571;0
429;28;14;10;4;;;14;4;0;0.5;0.357142857;0.142857143;0;0;0.5;0.142857143;0
430;28;;14;14;;;28;14;0;0;0.5;0.5;0;0;1;0.5;0
431;28;;17;11;;;28;11;0;0;0.607142857;0.392857143;0;0;1;0.392857143;0
432;28;19;8;1;;;9;1;0;0.678571429;0.285714286;0.035714286;0;0;0.321428571;0.035714286;0
433;28;;16;12;;;28;12;0;0;0.571428571;0.428571429;0;0;1;0.428571429;0
434;28;;14;14;;;28;14;0;0;0.5;0.5;0;0;1;0.5;0
